formula	comparison	target	gated_rank	comparator_rank	signed_displacement	absolute_displacement	shared_top10
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	GSK3B	33	33	0	0	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	HDAC6	14	10	-4	4	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	HMGB1	32	32	0	0	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD11B1	2	2	0	0	True
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD11B2	6	1	-5	5	True
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD17B1	20	17	-3	3	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	HSD17B2	16	12	-4	4	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	IL2	1	21	20	20	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	KDM1A	25	25	0	0	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MAOA	27	27	0	0	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MAOB	5	22	17	17	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP1	11	7	-4	4	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP13	10	6	-4	4	True
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP2	8	4	-4	4	True
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP3	12	8	-4	4	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP7	7	3	-4	4	True
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	MMP9	9	5	-4	4	True
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	NLRP3	18	14	-4	4	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	P4HB	29	29	0	0	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	PKM	17	13	-4	4	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	PSMB5	22	20	-2	2	False
六君子汤	evidence_gated_vs_cutoff_chembl_measured_only	TDP1	30	30	0	0	False
四物汤	evidence_gated_vs_ungated_union	ABCG2	28	28	0	0	False
四物汤	evidence_gated_vs_ungated_union	ADRM1	29	29	0	0	False
四物汤	evidence_gated_vs_ungated_union	AGA	30	30	0	0	False
四物汤	evidence_gated_vs_ungated_union	AKT1	17	17	0	0	False
四物汤	evidence_gated_vs_ungated_union	BDNF	31	31	0	0	False
四物汤	evidence_gated_vs_ungated_union	BIRC5	32	32	0	0	False
四物汤	evidence_gated_vs_ungated_union	BRD4	33	33	0	0	False
四物汤	evidence_gated_vs_ungated_union	C4B	34	34	0	0	False
四物汤	evidence_gated_vs_ungated_union	CA1	3	3	0	0	True
四物汤	evidence_gated_vs_ungated_union	CA12	9	9	0	0	True
四物汤	evidence_gated_vs_ungated_union	CA14	7	7	0	0	True
四物汤	evidence_gated_vs_ungated_union	CA2	2	2	0	0	True
四物汤	evidence_gated_vs_ungated_union	CA3	12	12	0	0	False
四物汤	evidence_gated_vs_ungated_union	CA4	11	11	0	0	False
四物汤	evidence_gated_vs_ungated_union	CA5A	4	4	0	0	True
四物汤	evidence_gated_vs_ungated_union	CA5B	10	10	0	0	True
四物汤	evidence_gated_vs_ungated_union	CA6	6	6	0	0	True
四物汤	evidence_gated_vs_ungated_union	CA7	5	5	0	0	True
四物汤	evidence_gated_vs_ungated_union	CA9	8	8	0	0	True
四物汤	evidence_gated_vs_ungated_union	CASP3	18	18	0	0	False
四物汤	evidence_gated_vs_ungated_union	CRP	19	19	0	0	False
四物汤	evidence_gated_vs_ungated_union	EGF	35	35	0	0	False
四物汤	evidence_gated_vs_ungated_union	EGFR	36	36	0	0	False
四物汤	evidence_gated_vs_ungated_union	EPO	24	24	0	0	False
四物汤	evidence_gated_vs_ungated_union	ESR1	37	37	0	0	False
四物汤	evidence_gated_vs_ungated_union	FGFR1	38	38	0	0	False
四物汤	evidence_gated_vs_ungated_union	GRB2	25	25	0	0	False
四物汤	evidence_gated_vs_ungated_union	GSDMD	39	39	0	0	False
四物汤	evidence_gated_vs_ungated_union	HGF	40	40	0	0	False
四物汤	evidence_gated_vs_ungated_union	HMGB1	41	41	0	0	False
四物汤	evidence_gated_vs_ungated_union	HMOX1	42	42	0	0	False
四物汤	evidence_gated_vs_ungated_union	HRAS	26	26	0	0	False
四物汤	evidence_gated_vs_ungated_union	HSP90AB1	43	43	0	0	False
四物汤	evidence_gated_vs_ungated_union	IL6	44	44	0	0	False
四物汤	evidence_gated_vs_ungated_union	KDR	20	20	0	0	False
四物汤	evidence_gated_vs_ungated_union	KRAS	45	45	0	0	False
四物汤	evidence_gated_vs_ungated_union	MAPK1	46	46	0	0	False
四物汤	evidence_gated_vs_ungated_union	MAPK14	47	47	0	0	False
四物汤	evidence_gated_vs_ungated_union	MLKL	48	48	0	0	False
四物汤	evidence_gated_vs_ungated_union	MPO	49	49	0	0	False
四物汤	evidence_gated_vs_ungated_union	MVD	21	21	0	0	False
四物汤	evidence_gated_vs_ungated_union	MYC	50	50	0	0	False
四物汤	evidence_gated_vs_ungated_union	NFKB1	51	51	0	0	False
四物汤	evidence_gated_vs_ungated_union	NGF	52	52	0	0	False
四物汤	evidence_gated_vs_ungated_union	NLRP3	16	16	0	0	False
四物汤	evidence_gated_vs_ungated_union	NOS2	53	53	0	0	False
